Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
akto,com.akto.dto,TestApiInfo,testCalculateActualAuth2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
akto,com.akto.dto,TestApiInfo,testCalculateActualAuth2,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.akto.dto.ApiInfo.calculateActualAuth; com.akto.dto.ApiInfo.getAllAuthTypesFound; com.akto.dto.ApiInfo.getActualAuthType; com.akto.dto.ApiInfo.setAllAuthTypesFound
akto,com.akto.dto.type,TestUrlMethods,testFromString,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
akto,com.akto.dto.type,TestKeyTypes,testProcess,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
akto,com.akto.dto.type,TestKeyTypes,testProcess,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.akto.dto.type.KeyTypes.process; com.akto.dto.CustomDataType.toSubType; com.akto.dto.type.SingleTypeInfo.getExamples
akto,com.akto.dto.type,TestSubType,testJWT,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
akto,com.akto.dto.type,TestSubType,testPhoneNumber,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
akto,com.akto.dto.type,TestSubType,testCreditCard,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
akto,com.akto.dto.type,TestSubType,testIP,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
akto,com.akto.dto.type,TestSingleTypeInfo,testCopy,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
akto,com.akto.dto.type,TestSingleTypeInfo,testCopy,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.akto.dto.type.SingleTypeInfo.setPublicCount; com.akto.dto.type.SingleTypeInfo.getDomain; com.akto.dto.type.SingleTypeInfo.getMaxValue; com.akto.types.CappedSet.getElements; com.akto.dto.type.SingleTypeInfo.getMinValue; com.akto.dto.type.SingleTypeInfo.getCount; com.akto.dto.type.SingleTypeInfo.getPublicCount; com.akto.dto.type.SingleTypeInfo.getUniqueCount; com.akto.dto.type.SingleTypeInfo.copy; com.akto.dto.type.SingleTypeInfo.setUniqueCount; com.akto.dto.type.SingleTypeInfo.getValues
akto,com.akto.dto.type,TestSingleTypeInfo,testMerge,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
akto,com.akto.dto.type,TestSingleTypeInfo,testMerge,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.akto.dto.type.SingleTypeInfo.setPublicCount; com.akto.dto.type.SingleTypeInfo.getMaxValue; com.akto.types.CappedSet.getElements; com.akto.dto.type.SingleTypeInfo.getCount; com.akto.dto.type.SingleTypeInfo.getMinValue; com.akto.dto.type.SingleTypeInfo.getPublicCount; com.akto.dto.type.SingleTypeInfo.merge; com.akto.dto.type.SingleTypeInfo.getUniqueCount; com.akto.dto.type.SingleTypeInfo.setUniqueCount; com.akto.dto.type.SingleTypeInfo.getValues
akto,com.akto.dto.type,TestSingleTypeInfo,testSubTypeIsSensitive,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
akto,com.akto.dto.type,TestSingleTypeInfo,testFindSubTypeFunction,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
akto,com.akto.dto.type,TestSingleTypeInfo,testSetMinMaxValuesForNonNumbers,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
akto,com.akto.dto.type,TestSingleTypeInfo,testSetMinMaxValuesForNonNumbers,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.akto.dto.type.SingleTypeInfo.getMaxValue; com.akto.dto.type.SingleTypeInfo.updateMinMaxValues; com.akto.dto.type.SingleTypeInfo.getMinValue
akto,com.akto.dto.type,TestSingleTypeInfo,testSetMinMaxValuesForNumbers,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
akto,com.akto.dto.type,TestSingleTypeInfo,testSetMinMaxValuesForNumbers,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.akto.dto.type.SingleTypeInfo.getMaxValue; com.akto.dto.type.SingleTypeInfo.updateMinMaxValues; com.akto.dto.type.SingleTypeInfo.getMinValue
akto,com.akto.dto.type,TestSingleTypeInfo,testFindLastKeyFromParam,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
akto,com.akto.dto.type,TestRequestTemplate,testCompareKeys,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
akto,com.akto.dto.type,TestRequestTemplate,testCompareKeys,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.akto.dto.type.RequestTemplate.getHeaders; com.akto.dto.type.RequestTemplate.compare
akto,com.akto.dto.api_workflow,TestGraph,testBuildGraph,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
akto,com.akto.dto.api_workflow,TestGraph,testBuildGraph,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.akto.dto.testing.WorkflowTest.setEdges; com.akto.dto.api_workflow.Graph.getNodes; com.akto.dto.testing.WorkflowTest.setMapNodeIdToWorkflowNodeDetails; com.akto.dto.api_workflow.Graph.sort; com.akto.dto.api_workflow.Graph.buildGraph
akto,com.akto.dto.api_workflow,TestGraph,testSort,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
akto,com.akto.dto.data_types,TestPredicates,testStartsWithPredicate,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
akto,com.akto.dto.data_types,TestPredicates,testEndsWithPredicate,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
akto,com.akto.dto.data_types,TestPredicates,testRegexPredicate,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
akto,com.akto.dto.data_types,TestPredicates,testIsNumberPredicate,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
akto,com.akto.dto.data_types,TestPredicates,testEqualsToPredicate,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
akto,com.akto.dto.data_types,TestPredicates,testContainsPredicate,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
akto,com.akto.dto.data_types,TestPredicates,testBelongsToPredicate,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
