Project Name,Package Name,Type Name,Design Smell,Cause of the Smell,
akto,com.akto.dao,TestEnvSettingsDao,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AccountsContextDao,
akto,com.akto.dao,AccountsContextDao,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: TeamsDao; DashboardLogsDao; RecordedLoginInputDao; OtpMessagesDao; BackwardCompatibilityDao; AuthMechanismsDao; ScansDao; RelationshipDao; DibsDao; AttemptsDao; AktoGptConfigDao; MarkovDao; TrafficInfoDao; ApiCollectionsDao; CustomAuthTypeDao; TestRunDao; APIAuthDao; RequestTemplatesDao; AwsResourcesDao; CustomDataTypeDao; RuntimeLogsDao; LogsDao; AktoDataTypeDao; EndpointInfoDao; URLTemplateDao; AccountSettingsDao; RuntimeFilterDao; BurpPluginInfoDao; ThirdPartyAccessDao; APISpecDao; SensitiveParamInfoDao; SingleTypeInfoDao; TagConfigsDao; ApiInfoDao; TestEnvSettingsDao; SensitiveSampleDataDao; FilterSampleDataDao; SampleDataDao; LoadersDao; TrafficMetricsDao; CustomWebhooksResultDao; SlackWebhooksDao; CustomWebhooksDao; PIISourceDao; VulnerableRequestForTemplateDao; TestingRunResultDao; WorkflowTestsDao; WorkflowTestResultsDao; TestingRunConfigDao; EndpointLogicalGroupDao; TestingRunResultSummariesDao; TestRolesDao; TestingSchedulesDao; TestingRunDao; LoginFlowStepsDao; TestSourceConfigsDao; YamlTemplateDao; TestingRunIssuesDao,
akto,com.akto.dao,SensitiveSampleDataDao,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: instance,
akto,com.akto.dao,SensitiveSampleDataDao,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AccountsContextDao,
akto,com.akto.dao,FilterSampleDataDao,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: instance,
akto,com.akto.dao,FilterSampleDataDao,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AccountsContextDao,
akto,com.akto.dao,SampleDataDao,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: instance,
akto,com.akto.dao,SampleDataDao,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AccountsContextDao,
akto,com.akto.dao.loaders,TestLoadersDao,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: userId,
akto,com.akto.dao.loaders,LoadersDao,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: instance,
akto,com.akto.dao.loaders,LoadersDao,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AccountsContextDao,
akto,com.akto.utils,MongoBasedTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ACCOUNT_ID; mongodExe; mongod,
akto,com.akto.utils,DaoConnect,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
akto,com.akto.utils,RandomString,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: upper; lower; digits; alphanum; random; symbols; buf,
akto,com.akto.utils,RateLimitCache,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: thresholdForDeletion; cacheMap; bucket; lastTimestamp,
akto,com.akto.utils,RateLimitCache.CACHE_TYPE,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
akto,com.akto.utils,RateLimitCache.CACHE_TYPE,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
akto,com.akto.utils,RateLimitCache.IpInfo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: bucket; lastTimestamp
